Player,TEAM,AGE,GP,MIN,FGA,FTA,FGM3,FGA3,PTS,BLK,STL,AST,TOV,REB.Chances,Opp.FGA.at.Rim,Opp.FGPer.at.Rim,RAFGA,Passes.Made.per.Game,Touches.per.Game,AO,SecondAST,FTAst,AST.PTS.Created,Drive.PTS,Catch.Shoot.PTS,Pull.Up.PTS,Paint.Touch.PTS,Post.Touch.PTS,Elbow.Touch.PTS
Stanley Johnson,DET,19,57,23.9,8.8,1.5,0.9,3,9,0.2,0.7,1.6,1.5,8,1.3,56.6,2.9,22.9,35.1,3.1,0.2,0.4,4.2,2,2.5,1.8,0.5,0.5,0.1
Stephen Curry,GSW,27,53,33.8,19.6,5.4,4.9,10.8,29.8,0.2,2.2,6.6,3.3,9,1.6,50,5.1,57.3,85.8,12.3,2.4,0.8,15.7,4.6,7.5,10,1.4,1.5,0.8
Steve Blake,DET,35,33,15.7,4,0.2,0.9,2.6,4.2,0.1,0.4,2.9,1.4,2.4,1.1,63.9,0.4,33.2,41.2,6.6,0.9,0.5,7.2,0.5,2.1,1.4,0,0.1,0
Steve Novak,MIL,32,8,3.2,1.6,0,0.6,1.3,2.1,0,0,0,0.1,1,0.3,100,0,3.1,4.9,0.1,0,0,0,0,1.9,0.3,0,0,0
Steven Adams,OKC,22,54,25.1,4.8,2.6,0,0,7.2,1.2,0.4,0.7,1,13.8,6,48.3,4,38,45.5,1.5,0.5,0.1,1.5,0,0.2,0,4.1,4.1,0.3
TJ McConnell,PHI,23,56,20.5,5.7,0.5,0.4,1.2,6.1,0.1,1.3,4.7,2,5.4,1.4,47.5,1.3,48.9,59.5,9.6,0.6,0.4,11.4,2.3,0.8,2.6,0.1,0.1,0.1
TJ Warren,PHX,22,47,22.8,9.4,1.4,0.6,1.5,11,0.3,0.8,0.9,0.7,6.3,1.7,53.2,3,19.1,30.5,2.1,0.3,0.1,2.3,1.2,2.4,2.9,1.2,1.3,0.7
Taj Gibson,CHI,30,55,26.6,6.6,1.9,0,0.1,7.9,1.1,0.5,1.3,1.1,14.5,5.1,45.9,3.7,25.8,35,2.9,0.4,0.1,3.3,0.1,1.4,0.3,2.7,3.1,0.7
Tarik Black,LAL,24,21,12.3,2.6,1.2,0,0,3.4,0.4,0.3,0.2,0.5,7.4,3.1,55.4,1.9,14.3,18.1,1,0.1,0,0.6,0.1,0.1,0,1.6,2.1,0
Tayshaun Prince,MIN,35,55,21,3.2,0.2,0.1,0.3,3.2,0.2,0.5,1,0.4,3.7,1.7,54.7,0.6,16,20.1,2,0.2,0.1,2.1,0.2,1.6,0.5,0.4,0.5,0.1
