Player,TEAM,AGE,GP,MIN,FGA,FTA,FGM3,FGA3,PTS,BLK,STL,AST,TOV,REB.Chances,Opp.FGA.at.Rim,Opp.FGPer.at.Rim,RAFGA,Passes.Made.per.Game,Touches.per.Game,AO,SecondAST,FTAst,AST.PTS.Created,Drive.PTS,Catch.Shoot.PTS,Pull.Up.PTS,Paint.Touch.PTS,Post.Touch.PTS,Elbow.Touch.PTS
Ersan Ilyasova,ORL,28,55,27.2,9.7,2.2,1.5,4.1,11.3,0.5,0.7,1,1.1,11.3,4.4,58.9,3,35.1,48,2.2,0.3,0.1,2.6,0.9,4.6,1.4,1.1,1.3,0.4
Evan Fournier,ORL,23,55,32,11.2,2.5,2,5,14.2,0,1.3,2.8,1.6,5.7,2,60.7,3.6,34,50,6,0.7,0.2,6.1,3.6,4.9,2.2,0.8,0.9,0.5
Evan Turner,BOS,27,58,27.1,8.8,2.2,0.2,1.1,10,0.3,0.9,4.4,2.1,8,2.8,56.8,2.8,41.1,55.3,8.6,0.9,0.4,10.2,3.4,0.9,3.1,0.5,0.6,0.3
Festus Ezeli,GSW,26,40,17.8,5.3,3.1,0,0,7.5,1.2,0.4,0.8,0.9,11.7,6.9,43.3,3.8,19.6,27.2,1.4,0.3,0,2,0.1,0.2,0.1,4.5,5,0.2
Frank Kaminsky,CHA,22,54,21.4,6.6,1.9,0.8,2.4,7.5,0.6,0.4,1.3,0.8,7.9,4.3,51.9,2.5,35.6,44.6,2.7,0.3,0.2,3.6,1.4,2.4,0.3,1.4,1.7,0
Garrett Temple,WAS,29,53,25.6,7,1.9,1.1,3.4,7.8,0.2,0.9,1.8,0.7,5.2,1.8,48.5,2.3,22,31.8,3.5,0.4,0.1,4.3,1,3.2,0.9,0.2,0.3,0.1
Gary Harris,DEN,21,51,31.3,9.4,1.5,1.2,3.5,11,0.2,1.3,1.8,1.4,5.7,1.7,57.3,3.8,18.5,31.4,3.5,0.4,0.3,4.3,2.1,3.8,1.3,1.1,1.2,0.3
Gary Neal,WAS,31,40,20.2,8.1,1.4,1,2.5,9.8,0,0.5,1.2,0.7,4,1.2,66,0.9,19.2,29.5,2.7,0.3,0.2,2.9,1.8,2.5,4,0.2,0.2,0.4
George Hill,IND,29,49,35.2,10.5,2.1,1.8,4.3,12.6,0.2,1.3,3.4,1.5,7.4,1.6,60,2.6,60.3,75.6,8.1,1,0.4,8.3,1.8,4.5,2.7,0.7,0.8,0.2
Gerald Green,MIA,30,50,25.9,9.4,1.6,1.3,4.2,9.9,0.4,0.6,1,0.9,4.7,1.9,53.7,1.6,17.1,29,2,0.2,0.2,2.3,1.9,4.2,2.2,0.1,0.1,0.4
Gerald Henderson,POR,28,48,18.3,6.8,1.9,0.6,1.9,7.7,0.3,0.4,1,0.8,4.4,0.8,35,1.4,13.3,22.8,1.8,0.3,0.1,2.4,0.9,2.2,2.1,0.3,0.5,0.3
Giannis Antetokounmpo,MIL,21,55,34.9,12.2,4.7,0.3,1.3,16.2,1.2,1.1,2.9,2.5,13.2,5,45.7,7.3,41,59.8,5.6,0.6,0.3,6.6,4.3,1.4,1,2.3,2.8,1.2
Glenn Robinson,IND,22,38,11.6,3.3,1,0.3,0.8,3.8,0.2,0.4,0.6,0.4,3.4,0.9,50,1.3,10.9,15.6,1.4,0.2,0.1,1.3,0.4,0.9,0.3,0.8,0.9,0.3
Goran Dragic,MIA,29,47,32.5,11,2.1,0.9,2.8,12.8,0.2,1,5.4,2.4,6.4,1.8,55.3,4.1,62,80,10.7,1,0.5,12.4,4,2.5,3,0.2,0.1,0.4
Gordon Hayward,UTA,25,56,36.2,14.9,6.3,1.8,5.1,20.1,0.3,1.2,3.6,2.6,8.2,1.6,55.7,3.8,44.4,67.3,8.1,0.6,0.5,9,5.3,4.7,4.6,0.4,0.6,0.7
Gorgui Dieng,MIN,26,57,26.1,6.6,2.9,0.1,0.2,9.5,1,1.1,1.6,1.9,13.7,6.9,52.7,3.2,27.4,38.3,2.8,0.3,0.3,3.7,0.2,1.6,0.6,3.7,3.7,1.1
Greg Monroe,MIL,25,55,30.5,12.8,4.2,0,0,16.5,0.9,1,2.3,1.7,17.2,7.8,49.9,8.9,30.8,48.8,4.1,0.7,0.4,5.4,0.7,0.8,0.1,5.2,6,1.7
Greivis Vasquez,MIL,29,16,22.6,7,1.6,0.9,3.4,7.1,0,0.4,4.4,1.9,3.9,1.1,52.9,1.7,44.3,55.9,8.6,1,0.6,10.4,2.1,1.8,2.1,0.1,0.1,0.6
Harrison Barnes,GSW,23,39,29.4,9.7,1.9,1.3,3.2,12.2,0.2,0.7,1.7,0.9,9,3.1,57.4,2.5,28.4,40.8,3.3,0.9,0.1,4.4,0.8,4.5,2.2,1.1,1.4,0.7
Hollis Thompson,PHI,24,54,26.9,7.8,1.1,1.7,4.5,8.9,0.3,0.4,1,1.1,6.1,2.1,48.7,1.5,21.2,31.5,2.4,0.3,0.2,2.6,1.3,5.5,0.7,0.5,0.5,0.1
Ian Clark,GSW,24,45,9.4,3.6,0.5,0.6,1.4,4.3,0.2,0.2,1,0.7,2.2,0.6,50,1,13.9,18.9,1.8,0.3,0,2.5,0.9,1.1,1.2,0.4,0.3,0.1
Ian Mahinmi,IND,29,47,24.7,5.8,3.2,0,0,8.8,1,0.9,1.4,1.3,13.1,6.6,49.7,4.3,31.3,40.4,3,0.5,0.2,3.5,0.4,0.5,0,3.5,3.7,1.2
Iman Shumpert,CLE,25,31,24.2,6.1,0.7,0.9,2.9,6.1,0.4,1,1.5,1.2,5.9,0.9,37,1.3,19.4,27.8,2.9,0.4,0.2,3.8,0.9,2.9,1,0.1,0.1,0.2
Isaiah Canaan,PHI,24,55,24.4,8.8,2.1,2.2,5.9,10.4,0.2,0.7,1.8,1.3,4,1.3,58.9,1.6,33.9,46.4,4,0.5,0.3,4.2,1.7,4.2,2.7,0.1,0.2,0.1
Isaiah Thomas,BOS,27,58,32.4,16.6,6.3,2,5.7,21.6,0.1,1.2,6.8,2.7,5.7,1.2,55.2,6,60.9,86.6,13.8,1.3,0.5,16.1,7.1,3.6,5.1,0.2,0.2,0.5
Ish Smith,PHI,27,51,26.6,11.9,2.2,0.4,1.5,11.7,0.2,1.2,6.5,2.1,6.9,2.5,54,5.1,57.1,75.5,12,0.8,0.5,15.5,4.7,0.5,3.6,0.3,0.3,0.1
J.J. O'Brien,UTA,23,2,3.1,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0,0,1.5,2,0,0,0,0,0,0,0,0,0,0
J.R. Smith,CLE,30,51,30.8,11.4,1,2.7,6.6,12.6,0.3,1.1,1.5,0.8,4.8,1.3,50,1.2,23.1,37.3,2.8,0.6,0.1,3.8,1.1,7,3,0.3,0.3,0.6
JJ Hickson,DEN,27,20,15.3,5.5,3,0,0,6.9,0.6,0.5,0.8,0.8,7.9,4.4,48.3,3.5,20.9,29.1,1.7,0.6,0,1.8,0.3,0.4,0.4,2.7,2.7,1.1
JJ Redick,LAC,31,52,28.3,11.5,3.3,2.6,5.5,16.5,0,0.5,1.4,1.1,3.8,1.3,46.4,1.1,20.3,35,2.8,0.4,0.2,3.5,1.4,7.9,4.2,0.2,0.3,0.5
JaKarr Sampson,DEN,22,48,14.7,4.3,2,0.1,0.7,5,0.4,0.3,0.6,1.1,5.2,2,45.3,2.5,11.5,18.4,1.2,0.1,0,1.6,2,0.4,0.2,0.6,0.7,0.4
JaMychal Green,MEM,25,51,15,4.3,1.4,0.2,0.4,5.5,0.3,0.4,0.4,0.9,8,1.9,46.5,2.2,17.6,23.9,1.2,0.2,0.1,1,0.1,1.5,0.1,1.5,1.7,0.4
JaVale McGee,DAL,28,32,11.1,4.1,1.1,0,0,5.3,0.8,0.2,0.1,0.7,7.4,3,57.3,3.1,11.3,17,0.3,0.1,0,0.2,0.3,0.3,0.2,2.7,2.8,0.1
Jabari Parker,MIL,20,51,29.7,10.2,2.5,0,0.2,11.9,0.4,0.8,1.5,1.2,10.7,3.6,52.7,5.7,34.5,48.5,2.7,0.4,0.3,3.5,2.2,1.1,1.2,2.2,2.8,1.2
Jae Crowder,BOS,25,58,32.2,11,3.2,1.7,4.8,14.3,0.5,1.8,1.9,1.2,9.2,2.5,62.9,3.3,34.8,49.1,4,0.6,0.3,4.3,1.9,5.3,1.5,1.2,1.3,0.4
Jahlil Okafor,PHI,20,50,30.2,14.8,3.7,0,0.1,17.4,1.2,0.4,1.2,2.4,15.6,8.2,49.4,7.2,31.8,52.7,2.6,0.3,0.1,2.9,2.3,1,1.8,3.2,3.9,2.7
Jamal Crawford,LAC,35,56,26.5,11.5,3.4,1.3,4,13.6,0.1,0.6,2.2,1.5,3.3,1,69,1.8,24.3,40.3,4.5,0.6,0.2,5.2,3.1,2.8,5,0.1,0.1,0.9
Jameer Nelson,DEN,34,38,27.1,8.1,0.9,1.1,3.8,7.9,0.1,0.7,5,1.7,5.7,1.5,50,1.6,50.5,63.6,10.9,1.4,0.5,11.9,1.8,1.7,3.4,0,0,0.1
James Anderson,SAC,26,32,11.3,2.5,0.4,0.3,1.2,2.2,0.3,0.3,0.5,0.7,2.4,1,38.7,0.9,8.2,12,1.1,0.3,0.1,1.3,0.5,0.7,0.2,0.2,0.2,0
James Ennis,MEM,25,11,3.6,0.7,0.9,0.2,0.5,1.3,0.2,0.4,0.3,0.2,1.1,0.2,50,0.2,3,4.5,0.4,0,0,0.5,0.3,0.3,0.3,0.2,0.2,0
James Harden,HOU,26,57,37.4,19.2,10.4,2.8,7.9,28.3,0.6,1.6,7,4.5,10.9,3.3,53.7,5.8,51.1,83.8,13.7,1.3,0.5,17.1,7,3.6,8.1,0.4,0.5,1.1
James Johnson,TOR,29,43,15.6,4,1.2,0.3,1,5,0.6,0.5,1,0.9,4.7,1.4,40,2.4,12.3,18.1,1.8,0.2,0.2,2.4,1.8,0.9,0.3,0.4,0.4,0.1
James Jones,CLE,35,36,9.5,2.8,0.6,0.8,2.1,3.3,0.2,0.2,0.4,0.3,2,1.1,48.8,0.1,12.2,15.7,0.7,0.1,0,0.9,0.2,2.2,0.2,0.1,0.1,0
James Michael McAdoo,GSW,23,25,5.9,1.6,1.1,0,0,2.3,0.2,0.3,0.4,0.4,3,0.8,52.4,1.2,9.9,12.6,0.7,0.1,0,0.8,0.1,0.1,0.2,0.8,1,0.2
James Young,BOS,20,22,7.5,1.4,0.2,0.2,1,1.2,0,0.2,0.3,0.1,1.6,0.6,53.8,0.3,5.2,6.9,0.6,0,0,0.9,0.2,0.7,0.1,0,0,0
Jared Cunningham,ORL,24,40,8.9,2.3,1.2,0.3,0.8,2.6,0.1,0.3,0.5,0.5,1.6,0.6,68.2,1.2,8.9,12.8,1,0.2,0,1.1,0.4,0.8,0.1,0.2,0.2,0.2
Jared Dudley,WAS,30,54,28.9,6.8,1.4,1.5,3.4,9.2,0.2,1,2.2,1.1,8.9,4.9,52.1,0.9,42.4,51.9,4.3,0.6,0.3,5.3,0.5,6.1,0.8,0.4,0.4,0.5
Jared Sullinger,BOS,23,57,23.6,9.7,1.9,0.4,1.4,10.1,0.6,0.9,2.4,1.3,14.4,5.6,53.7,3.4,33.4,46.5,5.1,0.6,0.2,5.8,0.8,3.5,0.8,1.6,1.7,1.4
Jarell Eddie,WAS,24,18,5,2.2,0.2,0.7,1.8,2.3,0.1,0.1,0.1,0.1,1.4,0.5,33.3,0.1,4.6,7.3,0.3,0,0.1,0.3,0,1.7,0.3,0.1,0.1,0
Jarell Martin,MEM,21,2,4.6,2.5,0,0,0,1,0,0,0,0,1.7,0,0,0.5,4,6.5,0.5,0,0,0,0,1,0,0,0,0
Jarnell Stokes,MIA,22,7,2.7,0.7,0.3,0,0,1,0,0.1,0.1,0,1.6,1.4,30,0.4,2.7,3.9,0.4,0.1,0,0.4,0.3,0,0,0,0,0
Jarrett Jack,BKN,32,32,32.1,11.2,3.5,1,3.2,12.8,0.2,1.1,7.4,2.9,6.2,1.3,60.5,1.5,62.8,81.5,13.5,1.5,0.4,16.1,2.6,1.8,4.9,0.1,0.1,0.3
Jason Smith,ORL,29,49,14.9,5.7,0.6,0.1,0.3,6.4,0.8,0.4,0.7,0.8,5.9,3.7,49.4,1,17.9,24.6,1.3,0.1,0.1,1.5,0.4,4.3,0.3,0.4,0.4,1
Jason Terry,HOU,38,47,16.8,4.9,0.6,1.3,3.6,5.8,0.1,0.6,1.3,0.7,2,0.9,65,0.4,20.3,27,2.6,0.3,0.3,3.4,1,3.6,0.7,0,0,0
Jason Thompson,GSW,29,28,6.4,1.5,1.1,0,0,2.1,0.3,0.1,0.7,0.3,4,1.8,51,0.7,11.8,14.3,1.3,0.2,0,1.5,0.2,0.2,0.1,0.4,0.5,0.2
Jeff Ayres,LAC,28,5,2.9,0.4,0.4,0,0,1.2,0.6,0,0.4,0.2,1.8,1,60,0.4,4.2,5,0.6,0,0,1,0,0,0,0,0,0.4
Jeff Green,LAC,29,55,28.9,10.4,3,0.8,2.5,12.2,0.4,0.7,1.8,1.3,7.8,2.8,51.3,4.2,30.5,45.1,3.9,0.5,0.2,4.5,3,2.2,2,1.2,1.4,0.7
Jeff Teague,ATL,27,55,28.4,12.1,3.9,1.3,3.1,15.1,0.3,1.3,5.5,2.8,4.7,1,61.8,5.1,51.5,70.7,12.1,1.9,0.3,12.9,6.1,2.1,3.3,0.2,0.4,0.1
Jeff Withey,UTA,25,40,14.2,3.4,1.4,0,0.1,4.7,1.2,0.5,0.4,0.7,7.8,4.5,41,2.5,20,25.1,1.1,0.1,0,1.1,0.1,0.4,0,2,2.4,0.3
Jerami Grant,PHI,21,54,25.7,7,3.7,0.4,1.8,9.1,1.6,0.7,1.6,1.4,9.3,4.7,45.9,4.2,32.7,44.3,3.2,0.3,0.1,3.9,2.7,1.4,0.2,1.3,1.8,0.4
Jeremy Evans,DAL,28,30,8.4,1.6,0.7,0.1,0.5,2.4,0.3,0.2,0.1,0.2,3.6,1.4,45.2,1,6.1,8.4,0.4,0.1,0.1,0.2,0.1,0.5,0,0.9,0.9,0.1
Jeremy Lamb,CHA,23,45,20.7,9,1.4,1,3.2,10.4,0.4,0.7,1.4,0.8,7.2,1.6,50.7,2.7,19.6,30.9,3,0.4,0.2,3.5,2.3,2.9,2.2,0.9,0.8,0.4
Jeremy Lin,CHA,27,52,26.9,9.6,3.8,0.9,3,12,0.6,0.7,3.2,1.9,6.3,2.2,57,3.3,32.2,48.5,6.8,0.8,0.4,8,4.2,2.2,2.5,0.5,0.6,0.5
Jerian Grant,NYK,23,53,15.7,4.7,1.6,0.2,1.1,4.8,0.1,0.5,2.5,1.1,3.7,1.2,48.4,2,29.6,37.2,5.6,0.6,0.2,5.9,1.9,0.5,1,0.2,0.2,0.2
Jerryd Bayless,MIL,27,36,28,8.6,1.6,2,4.6,10.5,0.2,0.9,3.4,1.7,4.8,1.6,57.1,1.6,39.7,52.5,7.2,0.7,0.3,8,1.5,5.3,2.2,0.2,0.2,0.1
Jimmer Fredette,NYK,26,5,2.9,1,0,0.2,0.4,1,0,0.2,0.2,0.4,0.4,0.6,100,0.3,2.2,3.6,0.4,0.2,0,0,0,0.6,0,0,0,0
Jimmy Butler,CHI,26,48,37.9,16.3,7.7,1.1,3.3,22.4,0.6,1.7,4.3,2,10.7,3.8,49.5,5.6,43,67.2,9,0.9,0.3,9.8,5,2.8,5,2.6,3.1,0.9
Joakim Noah,CHI,30,29,21.9,4.6,1.6,0,0,4.3,1,0.6,3.8,1.8,16,4.3,52.4,3.8,44.9,54,7,0.7,0.1,8.8,0.4,0.2,0,1.4,1.1,0.4
Jodie Meeks,DET,28,2,8.5,2.5,0,0,0,1,0,0,0,0.5,2,0.5,0,1,3,6.5,0,0,0,0,1,0,0,0,0,0
Joe Harris,CLE,24,5,3,0.8,0,0.2,0.8,0.6,0,0,0.4,0.2,0.8,0.4,100,0,3.4,4.6,0.4,0.4,0,1,0,0.6,0,0,0,0
Joe Ingles,UTA,28,55,14,3.4,0.2,0.9,2.3,3.9,0.1,0.5,1,0.7,2.7,0.7,51.4,0.6,18.9,24,2.4,0.2,0.3,2.6,0.5,2.2,0.7,0,0,0.2
Joe Johnson,BKN,34,57,33.9,10.7,1.9,1.5,4,11.8,0,0.7,4.1,2,6.2,1.7,52.6,1,37.4,52.5,8.1,0.8,0.3,9.3,2.5,3.7,3.1,0.1,0.2,0.5
Joe Young,IND,23,31,9.4,3.9,0.7,0.3,1,4,0,0.4,1.5,0.8,2.2,0.8,57.7,0.9,15.6,22,2.7,0.1,0.2,3.1,1.1,0.6,1.5,0,0,0.1
Joel Anthony,DET,33,13,4,0.4,0.5,0,0,0.7,0.3,0.2,0.1,0.1,3.4,0.9,66.7,0.2,2.5,3.2,0.2,0,0,0.2,0,0,0,0.5,0.5,0
Joffrey Lauvergne,DEN,24,35,17.5,6.5,1,0.4,1.1,7.8,0.3,0.2,1,0.9,10,3.7,53.1,3.7,23.9,32.7,1.8,0.2,0,2.3,0.4,1.9,0.1,2.7,2.5,0.7
John Henson,MIL,25,42,16.7,4.8,2,0,0,6.8,2,0.3,1,1.1,8.9,5.6,40.5,3.4,15.8,23.4,2.1,0.4,0.1,2.2,0,0.1,0,4,4,0.5
John Jenkins,DAL,24,21,9.2,3.3,0.4,0.1,0.9,3.3,0,0.1,0.4,0.5,2.1,0.5,50,0.6,8.7,13.4,1.2,0.1,0,1.1,0.5,0.9,0.9,0.4,0.2,0.4
John Wall,WAS,25,55,35.9,17.4,4.4,1.5,4.4,19.8,0.8,2,9.8,4.1,7.2,2,63.1,5.4,72,99.4,19.3,1.9,1,23.7,4.2,3.1,6.6,0.2,0.2,0.2
Johnny O'Bryant,MIL,22,48,14,3.4,0.6,0,0,3.2,0.1,0.3,0.6,0.6,5.2,2.1,50,1.3,17.3,21.9,1.3,0.1,0.1,1.3,0.1,1,0.3,0.6,0.7,0.3
Jon Leuer,PHX,26,46,20.2,7.3,1.4,0.8,1.9,8.8,0.5,0.6,1.3,1.2,10.6,4.1,53.2,2.5,29,39,2.5,0.3,0.1,3.1,1.1,3.2,0.7,1.5,1.6,0.8
Jonas Jerebko,BOS,28,57,14.1,3.4,0.9,0.5,1.2,4,0.2,0.2,0.8,0.6,7,1.8,55.1,1.4,17.9,22.9,1.6,0.3,0.1,1.8,0.4,1.6,0.1,0.7,0.7,0.1
Jonas Valanciunas,TOR,23,38,26.5,8.9,3.8,0,0,12.8,1.2,0.4,0.8,1.6,17.5,7.7,54.7,6.2,32.6,45.4,1.3,0.4,0.1,2.1,0.1,1.1,0.1,4.9,5.8,0.4
Jonathon Simmons,SAS,26,42,14.5,4.3,1.6,0.4,0.9,6,0.1,0.4,1.1,1.1,3.5,0.7,74.2,2.3,15.2,22.1,2,0.3,0.1,2.9,2.2,1,0.4,0.5,0.5,0.3
Jordan Adams,MEM,21,2,7.3,3,2.5,0,0.5,3.5,0,1.5,1.5,1,1.5,0,0,1,6.5,11,1.5,0.5,0,3,1.5,0,1,0,0,0
Jordan Clarkson,LAL,23,56,32.3,13.5,2.8,1.2,3.1,15.5,0.1,1.1,2.6,1.8,8.2,2.1,61.3,4.4,41.5,60.6,5.1,0.6,0.4,6.4,4.5,2.6,4.3,0.9,1.1,0.3
Jordan Hill,IND,28,52,21.7,7.8,1.9,0,0,9.2,0.5,0.6,1.3,1.4,13.7,5.7,52.4,3.6,30.6,41.2,3,0.3,0.2,3.2,0.1,1.6,0.4,2.2,2.8,0.8
Jordan McRae,PHX,24,7,11.8,3.7,2.1,0.4,1.6,5.3,0,0.4,1.4,0.9,2.1,0.9,50,1.1,19,26.9,3.6,0.3,0,3.3,1,0.9,1.3,0.6,0.3,0.3
Jordan Mickey,BOS,21,6,2.2,1.3,0.5,0,0,1.8,0.5,0,0.2,0,1.5,0.8,40,1.2,3.5,5,0.3,0,0,0.5,0,0.3,0,0.3,0.3,0
Jose Calderon,NYK,34,54,27.5,6.1,0.6,1.1,2.8,7.3,0.1,0.9,4,1.2,5.1,1.6,55.3,0.7,57.6,67.9,9.3,1,0.4,9.6,0.7,3.1,2.7,0.2,0.2,0.1
Jose Juan Barea,DAL,31,51,22,8.8,1.4,1.3,3.4,9.7,0,0.4,3.9,1.5,3.6,0.6,53.1,2.4,41.2,54.6,7.7,0.6,0.5,9.1,3.3,1.9,3.2,0.1,0.2,0
Josh McRoberts,MIA,28,28,15.7,3.5,1.1,0.3,1.2,3.9,0.2,0.5,2,0.9,5.5,2.6,47.9,1.3,25.9,31.7,4.2,0.4,0.2,4.7,0.8,1.4,0,0.4,0.5,0.8
Josh Richardson,MIA,22,26,12.6,2.6,0.6,0.3,1.1,2.2,0.3,0.4,0.8,0.5,2.5,0.8,50,0.8,15.1,19,2.2,0.3,0,2.1,0.8,0.8,0.2,0,0,0
Josh Smith,HOU,30,45,15.5,6.4,1.3,0.7,2.4,6.1,1,0.6,1.5,1.4,7.6,3.9,43.1,2.5,20.7,30,3,0.4,0.2,3.4,0.8,1.9,0.4,0.8,0.8,0.4
Jrue Holiday,NOP,25,50,26.5,13.4,3.3,1.1,3.5,15.4,0.3,1.2,5.7,2.3,5.8,1.8,57.1,4.7,43.2,63.2,10.9,0.8,0.7,13.9,6.5,0.9,5.4,0.5,0.5,0.7
Julius Randle,LAL,21,57,27.5,10.4,3.3,0.1,0.4,11.2,0.4,0.6,1.6,1.8,17.9,4.3,56.8,5.9,38.1,53.4,3.6,0.3,0.1,4,2.8,0.9,0.7,1.6,1.6,1.3
Justin Anderson,DAL,22,35,8.4,2.5,0.6,0.3,1.3,2.7,0.3,0.3,0.3,0.4,2.7,0.7,37.5,0.7,9.8,13.5,0.7,0.1,0.1,0.7,0.6,0.8,0.6,0.1,0.1,0.1
Justin Holiday,CHI,26,26,10.1,2.8,0.4,0.4,1.7,2.4,0.2,0.5,0.4,0.5,2.1,0.7,47.1,0.8,8,11.8,0.8,0.2,0.1,1,0.2,1.2,0.3,0.2,0.3,0.1
Justise Winslow,MIA,19,53,28.1,5.6,1.4,0.4,1.8,6.2,0.3,0.8,1.3,1.3,10.3,2.9,54.5,2.7,29,37.9,3.1,0.5,0.2,3.2,0.9,1.5,0.3,1.4,1.4,0.3
Jusuf Nurkic,DEN,21,19,13.7,6.3,2.6,0,0.1,6.2,1,0.4,0.8,1.2,9.3,3.5,60.6,4.5,20.4,29.1,1.6,0.2,0.1,2,0.2,0.2,0,3.3,3.4,0.2
KJ McDaniels,HOU,23,18,4.1,1.6,0.6,0.1,0.4,1.6,0.3,0.2,0.1,0.3,1.6,0.4,42.9,0.9,3.1,5.4,0.2,0,0.1,0.2,0.4,0.3,0,0.3,0.3,0
Karl-Anthony Towns,MIN,20,57,30.5,13.3,3.1,0.4,1,17.3,1.8,0.6,1.6,2.1,19,9,47.5,5.5,31.4,49.1,3.3,0.6,0.3,3.8,1,4.2,1,3.3,3.8,2.5
Kawhi Leonard,SAS,24,51,32.4,14.4,4.2,1.8,3.7,20.2,0.9,1.8,2.5,1.5,10.7,2.3,43.1,3.6,31.8,51.6,4.5,1,0.1,5.7,3.2,5.3,5,1,1.2,0.8
Keith Appling,ORL,24,5,5.4,1.6,0.4,0,0.6,1.2,0,0.2,0.2,0.6,0.6,0,0,0.4,6.8,10,1,0.2,0,0.6,0.8,0,0,0,0,0
Kelly Olynyk,BOS,24,54,20.3,8.3,1.7,1.3,3.1,10.1,0.6,0.8,1.6,1.2,9.3,4.1,52.3,3.3,31.1,42.1,3.3,0.3,0.2,3.6,1.5,3.5,0.9,1.4,1.6,0.5
Kelly Oubre,WAS,20,47,11.3,3.3,0.8,0.4,1.3,3.7,0.1,0.3,0.2,0.5,4.2,1,60.4,1.5,8.4,13.1,0.5,0.2,0,0.6,1.1,1.3,0,0.4,0.4,0.1
Kemba Walker,CHA,25,54,35.9,16.7,5.3,2,5.4,20.7,0.6,1.8,5,2.3,8.4,2.5,53.3,4.8,68.6,93.6,11.5,1.4,0.4,12.4,5.4,3.7,6.6,0.4,0.3,0.2
Kendall Marshall,PHI,24,17,13,3.9,0.5,0.5,1.5,3.6,0,0.5,2.9,1.9,1.4,0.9,60,0.9,28.1,35.3,6.1,0.8,0.3,7.2,1.2,1.4,0.8,0,0,0
Kendrick Perkins,NOP,31,12,9.5,1.4,0.3,0,0,2.4,0.2,0.1,0.4,0.9,3.7,3.1,67.6,0.8,11.3,13.8,0.7,0,0,0.8,0,0,0.2,1.3,1.3,0.7
Kenneth Faried,DEN,26,50,25.9,9.2,3.4,0,0,12.2,1,0.4,1.2,1.3,15.9,5.6,57.3,7.3,28.9,41.9,2.4,0.4,0.1,2.9,0.5,0.4,0.2,4.8,4.9,0.9
Kent Bazemore,ATL,26,53,28.1,9.9,2,1.5,4.1,11.9,0.4,1.3,2.3,1.9,8.4,2.1,54.1,4.3,34.9,49.3,4.1,0.8,0.2,5.2,2.9,4.2,1.1,1.3,1.2,0.1
Kentavious Caldwell-Pope,DET,23,53,36.8,12.6,3,1.5,4.9,14.5,0.3,1.5,1.7,1.4,6.1,1.6,58.6,3.2,23.6,40.4,3.7,0.5,0.3,4.2,2.4,3.8,3.7,0.9,0.8,0.7
Kevin Durant,OKC,27,49,36,18.8,6.9,2.5,6.3,27.7,1.2,0.9,4.5,3.2,11.1,3,50,4.4,34.3,61.2,8.7,0.8,0.3,10.3,3.8,5.7,8.2,1.3,1.9,2.4
Kevin Garnett,MIN,39,38,14.6,3,0.6,0,0,3.2,0.3,0.7,1.6,0.4,6.7,2.9,50.9,0.6,26.4,30.5,2.7,0.3,0.1,3.7,0,1.4,0.5,0.7,0.8,0.2
Kevin Love,CLE,27,54,32.2,12.8,3.9,2.1,5.6,16.1,0.6,0.9,2.4,1.8,17.3,6.3,52,2.9,45.6,64.3,4.2,0.9,0.2,5.7,0.8,6.6,1.1,2,3,0.4
Kevin Martin,MIN,33,38,21.9,8.8,3.7,1,2.7,10.9,0,0.4,1.2,1.1,3.2,0.8,78.1,1.6,16,28.3,2.8,0.4,0.1,2.7,1.9,3,2,0.3,0.6,0.7
Kevin Seraphin,NYK,26,35,10.4,4.1,0.4,0,0,3.7,0.7,0.2,1.1,1,4.7,3,44.3,1.2,16.6,22.3,1.9,0.1,0.2,2.4,0.1,0.7,0.4,1,1.3,0.5
Kevon Looney,GSW,20,4,4.6,1.3,0,0.3,0.5,1.8,0,0,0,0,3.4,1.5,50,0.5,8.5,9.8,0.5,0,0.3,0.3,0,0.8,0.5,0,0,0.5
Khris Middleton,MIL,24,57,36.4,14.5,4.2,1.9,4.8,17.8,0.2,1.4,4.1,2.2,6.5,2,60.5,2.4,36.3,56.8,7,0.9,0.5,9,2.1,5.7,4.7,0.5,0.5,0.9
Kirk Hinrich,ATL,35,35,15.9,3.4,0.5,0.7,1.6,3.8,0,0.4,1.7,0.8,3,1.2,48.8,0.8,23,28.3,3.1,0.5,0.1,4,0.6,1.1,1.4,0,0,0
Klay Thompson,GSW,26,53,32.9,16.7,3.2,3.2,7.8,21.6,0.6,0.6,2.2,1.8,7.3,2.7,53.2,3.3,24.5,46.5,3.8,0.9,0.2,5.4,2.3,10.2,3.5,1.9,1.9,1.1
Kobe Bryant,LAL,37,48,29.2,16.8,4.3,1.9,7.1,17.1,0.2,0.9,3.3,2.1,6.7,1.2,66.1,1.9,25.8,48.1,5.7,0.5,0.4,7.7,2.1,4.1,5.9,0.3,0.4,0.5
Kosta Koufos,SAC,27,54,19.4,5.4,1.4,0,0,6.6,0.9,0.6,0.4,0.7,10.5,5.4,48.8,2.9,16.9,24,1,0.1,0.1,0.9,0.1,0.2,0.1,3.2,3.8,0.2
Kostas Papanikolaou,DEN,25,26,11.3,2.5,0.5,0.4,1.2,2.6,0.2,0.5,0.6,0.8,3.6,1.2,41.9,0.8,11.8,16.3,1.7,0.4,0,1.5,0.2,1.3,0.2,0.3,0.3,0
